Key,Id,English(en),Spanish(es)
ui.common.back,11235483659,Back,Jugar
ui.common.coin_balance,11235483664,x {0},
ui.common.confirm_main_menu,11235483660,Are you sure you want to return to the main menu?,
ui.common.confirm_no,11235483663,Nope,
ui.common.confirm_title,11235483661,Are you sure?,
ui.common.confirm_yes,11235483662,Yep,
ui.common.copyright,11235483665,Copyright @Timo Kuronen,
ui.common.menu,11235483657,Menu,
ui.common.retry,11235483658,Retry,
ui.common.sfx_volume,11235483668,SFX Volume,
ui.common.version,11235483666,v{0},
ui.common.version_build,11235483667,v{0} ({1}),
ui.hud.moves,11235483655,Moves: {0},
ui.hud.puzzle_index,11235483654,Puzzle #{0},
ui.loading.message,11235483656,Loading,
ui.lose.continue_ad,11235483649,Continue: Watch Ad,
ui.lose.continue_coins,11235483648,Continue: Buy with coins,
ui.lose.title,11227095040,Out of moves!,
ui.menu.levels_title,11235483653,Levels,
ui.menu.play,11235483652,Play,
ui.menu.title,11235483651,Rune Match,
ui.pause.confirm_retry,11235483650,Are you sure you want to retry this level?,
ui.win.coins_earned,11222900737,+{0} coins earned,
ui.win.next_level,11222900736,Next Level,
ui.win.title,10547617792,You won!,
